㡝,fung6
㡞,laau4
㡞,laau5
㡞,leui5
㡟,jou1
㡠,jing3
㡡,chyu4
㡢,maan6
㡣,lung4
㡥,jaan2
㡦,baan1
㡦,faan6
㡧,cheung1
㡧,jing3
㡨,chin1
㡩,lyun4
㡫,ji3
㡭,gaai3
㡮,gaap6
㡮,kaap6
㡯,dok6
㡯,dou6
㡯,jak6
㡯,saam2
㡰,jyu5
㡱,gaau3
㡱,kaau3
㡲,wan4
㡳,ji2
㡴,kaap1
㡴,lai1
㡵,ling4
㡵,ling5
㡶,ji2
㡷,bun2
㡸,ja3
㡹,jeui1
㡺,dan3
㡻,liu6
㡼,ji6
㡽,jiu6
㡾,han6
㡿,chik1
㢀,chi3
㢁,chi2
㢂,jim5
㢃,long4
㢄,chim1
㢄,daau6
㢅,lung6
㢆,chin4
㢈,teui4
㢉,cha4
㢊,aai2
㢋,chi2
㢍,jeung3
㢍,jing2
㢍,jung2
㢎,chap3
㢎,jaap1
㢎,jiu3
㢏,taau4
㢑,teui4
㢒,cha4
㢓,jeung3
㢔,chung1
㢔,jaai1
㢔,jung2
㢕,jung1
㢖,pun1
㢗,hiu1
㢗,hou4
㢘,him3
㢘,lim4
㢙,gaan2
㢙,kaan4
㢙,saap1
㢚,lou5
㢛,jim6
㢜,kong2
㢝,sou1
㢞,ji6
㢟,chin2
㢠,gwing2
㢡,cheui1
㢡,cheut1
㢡,jeung2
㢣,king4
㢣,king4
㢥,dung6
㢦,go1
㢧,gyun2
㢨,hon6
㢩,dik1
㢩,dim3
㢩,tiu4
㢪,wu1
㢬,waang4
㢭,tou1
㢮,chi4
㢯,deun1
㢰,bei6
㢲,saan1
㢲,seun3
㢳,lou4
㢴,saai1
㢵,hip3
㢵,sip3
㢶,baat6
㢸,baat6
㢸,mak3
㢸,pong5
㢺,jin2
㢺,jin4
㢻,waai2
㢼,bit3
㢽,nei6
㢾,gyun3
㣀,jaan3
㣁,baai3
㣁,bei6
㣂,jik6
㣃,juk6
㣄,keui4
㣅,jam1
㣆,nei4
㣇,cha3
㣇,ji6
㣈,si3
㣉,gung1
㣋,dan1
㣌,sam3
㣍,chiu1
㣍,chong2
㣍,jaau2
㣍,toi4
㣎,man6
㣎,muk6
㣏,jing6
㣐,bin3
㣑,jung4
㣒,saang3
㣒,sik1
㣓,chan3
㣔,ding1
㣘,keui1
㣙,dek6
㣙,duk6
㣚,tung2
㣚,tung4
㣛,dap6
㣜,haang4
㣝,sung1
㣞,dyut6
㣟,hei3
㣠,tou4
㣢,daai1
㣢,taai4
㣣,saam2
㣣,sim2
㣤,chin5
㣥,ji6
㣦,waai1
㣧,jaan6
㣪,wun6
㣫,dung2
㣬,chaap1
㣭,jung1
㣯,sit3
㣰,sik1
㣱,jak3
㣲,mei4
㣵,tat3
㣶,jin1
㣷,ning6
㣺,saam1
㣻,ngai6
㣼,jaan2
㣽,syu3
㣾,cha3
㣿,cheuk3
㣿,jeuk3
㣿,niu5
㤁,tim2
㤂,gaap1
㤃,fong1
㤃,fong4
㤄,pui3
㤅,oi3
㤆,faan2
㤇,ou2
㤇,ou3
㤈,saam3
㤉,ka3
㤉,kok3
㤉,nga4
㤊,hau6
㤋,faan1
㤌,gaam1
㤌,gaam3
㤍,diu6
㤍,hau1
㤍,hau2
㤍,jiu4
㤍,tiu5
㤎,go1
㤏,tung4
㤐,tip3
㤑,jaau6
㤒,gou1
㤓,baan6
㤔,fu6
㤕,jeut1
㤖,chyu5
㤘,jaau3
㤙,jaan1
㤚,hong2
㤚,hong4
㤛,jaam6
㤜,kyut3
㤜,waat6
㤝,chung1
㤞,cha3
㤟,kung2
㤠,laau4
㤠,lit6
㤡,laai6
㤢,juk1
㤣,pang1
㤤,jyu4
㤥,hoi6
㤦,lei6
㤧,haau4
㤨,gung2
㤩,kok3
㤪,jyun3
㤪,wan4
㤫,daak1
㤫,jaam3
㤫,jak6
㤬,waai6
㤭,giu1
㤮,gwong2
㤮,kwong4
㤯,gwing2
㤰,jok3
㤱,fu3
㤲,hap6
㤲,hip3
㤳,baak1
㤴,chap3
㤵,chi4
㤶,pong4
㤷,haam4
㤸,jik1
㤹,gaau3
㤹,kaau4
㤺,fong2
㤺,wok6
㤽,chaau4
㤾,san3
㤿,yim1
㥀,daak1
㥁,daak1
㥂,tik1
㥂,tim5
㥃,mun6
㥄,ling4
㥅,saau6
㥆,teui3
㥇,chan1
㥈,dip6
㥉,pei1
㥊,pang4
㥋,ji1
㥌,guk1
㥍,gei6
㥎,laai4
㥏,tin2
㥐,jyun3
㥑,jaau1
㥒,choi2
㥓,ji2
㥔,juk6
㥕,lin4
㥖,chung1
㥚,jyu4
㥚,jyu5
㥛,gik6
㥜,syut3
㥜,waai6
㥝,maai5
㥞,seui6
㥟,kwaai4
㥠,seui1
㥡,hei3
㥢,jaau1
㥢,jaau4
㥣,waai6
㥤,ging1
